Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6      Egz.
Vardas90               Pavarde90                      6         4         1         5         8         1         2
Vardas91               Pavarde91                      9         1         6         5         3         5         3
Vardas92               Pavarde92                      5         3         1         7         7         2         5
Vardas93               Pavarde93                      6         2         5         1         8        10         6
Vardas94               Pavarde94                      9         7        10         1         9         6         1
Vardas95               Pavarde95                      2         3         1         1         3         4         4
Vardas96               Pavarde96                      7         5         3         5        10         3         8
Vardas97               Pavarde97                      9         8         8         1         7         4         2
Vardas98               Pavarde98                      4         3         2         2         9         2         9
Vardas99               Pavarde99                      5         5         9         3         3         6        10
Vardas100             Pavarde100                     10         7         8         1         2         2        10
Vardas101             Pavarde101                      6        10         8         9         7         1         9
Vardas102             Pavarde102                      7         9        10         4         7        10        10
Vardas103             Pavarde103                      7         9        10         5         3         5         3
Vardas104             Pavarde104                      1         5         3         5        10        10         1
Vardas105             Pavarde105                      8         1         7         4         2         3         3
Vardas106             Pavarde106                      6         5         6         3         7        10         1
Vardas107             Pavarde107                     10         5         9         5         5         1         7
Vardas108             Pavarde108                      4        10         8         3         5         9        10
Vardas109             Pavarde109                     10         5         6        10         4         7        10
Vardas110             Pavarde110                      1         5         9         6         7         6         3
Vardas111             Pavarde111                      9         2         3         2         1         8         2
Vardas112             Pavarde112                      8         7         5         8         1         8         6
Vardas113             Pavarde113                      4        10         4         5         6         7         5
Vardas114             Pavarde114                     10         9        10         5         8         7         1
Vardas115             Pavarde115                      4         2         9         4         4         5         6
Vardas116             Pavarde116                      5         6        10         2         9         7         9
Vardas117             Pavarde117                      7         2         5         3         1         7        10
Vardas118             Pavarde118                      4         8         5         5         1        10         4
Vardas119             Pavarde119                      2         1         7         5         2         9         7
Vardas120             Pavarde120                      5        10        10         5         9         7         9
Vardas121             Pavarde121                      8         2        10        10         6         9         1
Vardas122             Pavarde122                      5         9         3         7         8         9         9
Vardas123             Pavarde123                      2         5         9         8         8         1         5
Vardas124             Pavarde124                      1         7        10         8         6         8         2
Vardas125             Pavarde125                      2         9         7         5         8         9         6
Vardas126             Pavarde126                      9         1         9         9         5         4         7
Vardas127             Pavarde127                      6         7         4         4         6         3         3
Vardas128             Pavarde128                      3         3         8         8         8         9        10
Vardas129             Pavarde129                      4         8         4         8         5         2         2
Vardas130             Pavarde130                      9         5         8         5         7         5        10
Vardas131             Pavarde131                     10         6         7        10         5         8         8
Vardas132             Pavarde132                      7         4         2         9         7         3         2
Vardas133             Pavarde133                      2         3         9         2         6         6         1
Vardas134             Pavarde134                      2         1         9         4         7         2         2
Vardas135             Pavarde135                      7         8         3         7         5        10         4
Vardas136             Pavarde136                     10         3         4         3         9         6         9
Vardas137             Pavarde137                      7         5         7         3         3         8         2
Vardas138             Pavarde138                      3         9         6         1         9         3         3
Vardas139             Pavarde139                      9         7         6         5         8         2         8
Vardas140             Pavarde140                      2         9         9         4         9         4         9
Vardas141             Pavarde141                      4         1         5         1         9         4        10
Vardas142             Pavarde142                      8         7         2         9         8         7         5
Vardas143             Pavarde143                      6         4         1        10         6         2         4
Vardas144             Pavarde144                      4         3         1        10         4         5         9
Vardas145             Pavarde145                      9         6         1         8         2         9         4
Vardas146             Pavarde146                     10         4         4         2         6         7         6
Vardas147             Pavarde147                      6         7         1         3         2         2         3
Vardas148             Pavarde148                     10         4        10         8         1         9         4
Vardas149             Pavarde149                      7        10         7         4         3         7         8
Vardas150             Pavarde150                     10         2         2         5         6         8         1
Vardas151             Pavarde151                      4         2         5         8         7         3         5
Vardas152             Pavarde152                      7         7         4         9         9         7         2
Vardas153             Pavarde153                      8         9         4         5         2         6         4
Vardas154             Pavarde154                      5         2         7         5         2         3        10
Vardas155             Pavarde155                      9         9         9         8        10         1         4
Vardas156             Pavarde156                      6         5        10         9         6         1        10
Vardas157             Pavarde157                      3         9         9         1         3         9         8
Vardas158             Pavarde158                      3         3         3         3         2         6         1
Vardas159             Pavarde159                      5         5         7         6        10         5         1
Vardas160             Pavarde160                      2         5         9         9         9         9         4
Vardas161             Pavarde161                      7         1         5         4         3         9         6
Vardas162             Pavarde162                      1         6         9         5         3         7         7
Vardas163             Pavarde163                     10         2         2         9        10         5         4
Vardas164             Pavarde164                      2         4        10         5         3         8         6
Vardas165             Pavarde165                      6         2         9         3         1         5         6
Vardas166             Pavarde166                      4         8         2         6         7         9         4
Vardas167             Pavarde167                      8         5         2         5         7         8         3
Vardas168             Pavarde168                      7        10         6        10         1         1        10
Vardas169             Pavarde169                      7         5         3         8         2         5         4
Vardas170             Pavarde170                      3         5         8         8         3         5         9
Vardas171             Pavarde171                      1        10         7         1         7         7        10
Vardas172             Pavarde172                      5         9         5        10         5         9         9
Vardas173             Pavarde173                      9         3         8         9         9         2         9
Vardas174             Pavarde174                     10         4         4         7         3        10         7
Vardas175             Pavarde175                      3         8         3         4         6         6         4
Vardas176             Pavarde176                      3         9         1         2         8         7         6
Vardas177             Pavarde177                      1         7         7         6         9         4         7
Vardas178             Pavarde178                      3        10         9         1         8         6         9
Vardas179             Pavarde179                      9         3         5         3         1         5         9
Vardas180             Pavarde180                      4         4         9         7         6         3         4
Vardas181             Pavarde181                      2         2         2         8         2         7         3
Vardas182             Pavarde182                      4         4         1         1        10         5         3
Vardas183             Pavarde183                      3         1         6         5         1         8        10
Vardas184             Pavarde184                      9         3        10        10         6         1         7
Vardas185             Pavarde185                      5         4         5        10        10         1         5
Vardas186             Pavarde186                      2         7         6         5         6         5         5
Vardas187             Pavarde187                      4         7         9         9         9        10         7
Vardas188             Pavarde188                      7         5        10         1         5         4         2
Vardas189             Pavarde189                     10         7         7         7         3         7         8
Vardas190             Pavarde190                      1         1        10         7         4         3         8
Vardas191             Pavarde191                      7         6         6        10         6        10        10
Vardas192             Pavarde192                      5         7         7         8         9         7        10
Vardas193             Pavarde193                      5         4         6         9         9         1         1
Vardas194             Pavarde194                      7         9         6         2         1         4         4
Vardas195             Pavarde195                      6         9         7        10         4         9         1
Vardas196             Pavarde196                      5         5         8         7        10        10         7
Vardas197             Pavarde197                      8         2         9         4        10        10        10
Vardas198             Pavarde198                      6         4         8         7         9         8         5
Vardas199             Pavarde199                      8         2         3         6         6         5         4
Vardas200             Pavarde200                     10         7         9         1         9         8         9
Vardas201             Pavarde201                      8         7        10         3         7         8         7
Vardas202             Pavarde202                      7         9         6         2         6         1         3
Vardas203             Pavarde203                      2         7         7         8         2         7         4
Vardas204             Pavarde204                      6         9         1         1         9         7         7
Vardas205             Pavarde205                     10         6         3         5         9         9         9
Vardas206             Pavarde206                      1         4         9         2         3         3         7
Vardas207             Pavarde207                      4         3         9         9         7         6         4
Vardas208             Pavarde208                      9         6        10         4         6         2         2
Vardas209             Pavarde209                     10         8         5         4         9         5         4
Vardas210             Pavarde210                      3         4         9         7         2         8         5
Vardas211             Pavarde211                      3         6         5        10         5        10         8
Vardas212             Pavarde212                      8         6         4         9         5         9         9
Vardas213             Pavarde213                      2         4         2         9         3        10         3
Vardas214             Pavarde214                      2         4         1         6         6         9         5
Vardas215             Pavarde215                      1         8         8         1         3         5         9
Vardas216             Pavarde216                      4         7         2         5        10         3         1
Vardas217             Pavarde217                      9         6         9         7         1         1         7
Vardas218             Pavarde218                      3         6         8         4         4         4         6
Vardas219             Pavarde219                      7         7         2         6         7         1        10
Vardas220             Pavarde220                      4        10         3         8         7         6         3
Vardas221             Pavarde221                      8         1         8         6         6         5         1
Vardas222             Pavarde222                      4         6        10         3         9         7         2
Vardas223             Pavarde223                      6         9         2         9         7         2         5
Vardas224             Pavarde224                      9         9         3         8         7         6         6
Vardas225             Pavarde225                      7         8         4         7        10         2         3
Vardas226             Pavarde226                      1         2         7         3         6         3         7
Vardas227             Pavarde227                      8         8         1        10         2         7         7
Vardas228             Pavarde228                      7         8         5        10        10         8         6
Vardas229             Pavarde229                      7         3         8         2         1         8         1
Vardas230             Pavarde230                      6         9         6        10         1         5         5
Vardas231             Pavarde231                      3         3         2         3        10         2         1
Vardas232             Pavarde232                      9         1         3         5        10         7         4
Vardas233             Pavarde233                      2         7         2         7         9         4         1
Vardas234             Pavarde234                      7         7         9         5         2         4         4
Vardas235             Pavarde235                      7         5         8         7         6         1         8
Vardas236             Pavarde236                      7         7         3         6         8         2         3
Vardas237             Pavarde237                      4         4         8         9         8         4         3
Vardas238             Pavarde238                      6         3         8         1        10         6         4
Vardas239             Pavarde239                      5         7         4         1         2         3         6
Vardas240             Pavarde240                      6         5         3         4         1         5         5
Vardas241             Pavarde241                      8         6         1         7         2         6         8
Vardas242             Pavarde242                      5         9        10        10         9         5         2
Vardas243             Pavarde243                      7         7        10         2         7         3         9
Vardas244             Pavarde244                      3         9         6         4         9         9         7
Vardas245             Pavarde245                      3         5         2         9         9        10         1
Vardas246             Pavarde246                      5         6         1         7         5         6        10
Vardas247             Pavarde247                     10         6         8         1         7         6         6
Vardas248             Pavarde248                      1         5         7         5         6         4         8
Vardas249             Pavarde249                      7         6         2         3         5         9         4
Vardas250             Pavarde250                      7         3         8         9         9         8         8
Vardas251             Pavarde251                      1         6         5         2         7         1         5
Vardas252             Pavarde252                      2         6         1        10         5         8         6
Vardas253             Pavarde253                      7         3         8         1         3         6         9
Vardas254             Pavarde254                      2        10        10         4        10         4         8
Vardas255             Pavarde255                      2        10         8        10         7         4         3
Vardas256             Pavarde256                     10         9         9         3         4         6         8
Vardas257             Pavarde257                      8         9         3         7         1         5         4
Vardas258             Pavarde258                      8         8         6         3         7         4         4
Vardas259             Pavarde259                     10         1         3         5         1         5         5
Vardas260             Pavarde260                      6         5         6         5        10         3         8
Vardas261             Pavarde261                      9        10        10         7         7         7         4
Vardas262             Pavarde262                      9         6         9         4         6         6         4
Vardas263             Pavarde263                      3         6         9         2         9         2         8
Vardas264             Pavarde264                      4         9         6         4         6        10         9
Vardas265             Pavarde265                      5         9         9         6         4        10         8
Vardas266             Pavarde266                      3        10         9        10         4         7         8
Vardas267             Pavarde267                      3         2         7         3         1         7         1
Vardas268             Pavarde268                      1         6        10         1         3         5         3
Vardas269             Pavarde269                      6         5         1        10         1         9         8
Vardas270             Pavarde270                      7         2         8         8         5         9         8
Vardas271             Pavarde271                      1         9         3         6         5         9         5
Vardas272             Pavarde272                      4         5         2         8         5         8         9
Vardas273             Pavarde273                      7         8        10         4         5        10        10
Vardas274             Pavarde274                      9         8         8         9         5         1         5
Vardas275             Pavarde275                     10         3         1        10         6         6         6
Vardas276             Pavarde276                      1         6         9        10         4         4         5
Vardas277             Pavarde277                      2         4         6         8         5         2         1
Vardas278             Pavarde278                      5         6         7         6         5         6         5
Vardas279             Pavarde279                      7         9         6        10         4         4         7
Vardas280             Pavarde280                      3         3         5         2         1         2         5
Vardas281             Pavarde281                      5         7         9         5         9         5         2
Vardas282             Pavarde282                      7         5         7         8        10         3         8
Vardas283             Pavarde283                      5         4         6         6         5         1         6
Vardas284             Pavarde284                     10         2         7         1        10         7         1
Vardas285             Pavarde285                      9         2         8         8         8         9         8
Vardas286             Pavarde286                      9         5         3         9         3         2         3
Vardas287             Pavarde287                      7         3         5         5         4         7         4
Vardas288             Pavarde288                      6         8         5         1         8         4         8
Vardas289             Pavarde289                      7         6         9        10         2         3         9
Vardas290             Pavarde290                      8         7        10         7         9         7         6
Vardas291             Pavarde291                     10         3         6         5         9         6         1
Vardas292             Pavarde292                      5         7         8         9         6         1         6
Vardas293             Pavarde293                      4         3         7         4         3         6         3
Vardas294             Pavarde294                      3         9         3         8         7         2         4
Vardas295             Pavarde295                      1         3         3         4         9        10         9
Vardas296             Pavarde296                      8         3         4         3         2         7         5
Vardas297             Pavarde297                      9         5         8         3         6         2         6
Vardas298             Pavarde298                      8         1         4         5         4         9         9
Vardas299             Pavarde299                      7         7         2         3        10         6         7
Vardas300             Pavarde300                      3         2         1         1         6         1         5
Vardas301             Pavarde301                      1         9         9         9         6         6         7
Vardas302             Pavarde302                      2         4         3        10         8         6         2
Vardas303             Pavarde303                      2         1         9         5         1         1         1
Vardas304             Pavarde304                      3         7         3         5         8         5        10
Vardas305             Pavarde305                      2         9         6        10        10         9         5
Vardas306             Pavarde306                      4         5         9         8         6         1        10
Vardas307             Pavarde307                     10        10         3         8         3         8         4
Vardas308             Pavarde308                      4         1        10         3         2         4         6
Vardas309             Pavarde309                     10         1         2         1         7        10         2
Vardas310             Pavarde310                      3         4         9         1         3         7         6
Vardas311             Pavarde311                      2         1         8         5         8         9         2
Vardas312             Pavarde312                     10         7         9         1         5         9         3
Vardas313             Pavarde313                      6         7         6         7         7        10         4
Vardas314             Pavarde314                      2         9         5         5        10         6         9
Vardas315             Pavarde315                      9         9         8         6         5         1         1
Vardas316             Pavarde316                      2         3         6         8         8         1         7
Vardas317             Pavarde317                      2         1        10        10         7         3         1
Vardas318             Pavarde318                      6        10         7         9         6         7         7
Vardas319             Pavarde319                     10         6         2         8         9         6         2
Vardas320             Pavarde320                      8         8         4         5         3         7         5
Vardas321             Pavarde321                     10         3         8         4         3         4         4
Vardas322             Pavarde322                     10         5         2         5         7         5         1
Vardas323             Pavarde323                     10         2        10         7         4         1         1
Vardas324             Pavarde324                      9         1         9         2         4         6         3
Vardas325             Pavarde325                     10         5         1         6         9         5         7
Vardas326             Pavarde326                      2         2         1         7         3         3         9
Vardas327             Pavarde327                     10         8         3         6         6         6         6
Vardas328             Pavarde328                      7         3         1         7        10         3         4
Vardas329             Pavarde329                      3         7         5         7         7         3         7
Vardas330             Pavarde330                      1         5         5         1         9         7         3
Vardas331             Pavarde331                      9         3         3         1         6         5         7
Vardas332             Pavarde332                      5         7         1         1         6         6         7
Vardas333             Pavarde333                      1         6         8         2        10         3         5
Vardas334             Pavarde334                      1         6         2         1         4         8        10
Vardas335             Pavarde335                      9         2         1         4         6         4         8
Vardas336             Pavarde336                     10         8         2         7         9         9         1
Vardas337             Pavarde337                      6         1         9         3        10         6         9
Vardas338             Pavarde338                      3         9         8         8         4         4         7
Vardas339             Pavarde339                      2         3         9         3         8         4         5
Vardas340             Pavarde340                     10         6        10         2         9         5         1
Vardas341             Pavarde341                      3         1         6         8         2         3         5
Vardas342             Pavarde342                      3         4        10        10         9        10         4
Vardas343             Pavarde343                      9         3         6         1        10         5         4
Vardas344             Pavarde344                      7         4         3         4         5         5         6
Vardas345             Pavarde345                      6        10         9         1         8         8         6
Vardas346             Pavarde346                      4         1         5         9         3         4         8
Vardas347             Pavarde347                      2         3         6         9         3         3         1
Vardas348             Pavarde348                      1         5         3         9         4         8        10
Vardas349             Pavarde349                      3         1         8         2         9         7        10
Vardas350             Pavarde350                      9         1         7         6         7         7         5
Vardas351             Pavarde351                      2        10         8         7         2         6         4
Vardas352             Pavarde352                      3         8         4         7        10         9         7
Vardas353             Pavarde353                      1         2         8        10         4         3         4
Vardas354             Pavarde354                      4         9         8         9         8         5         2
Vardas355             Pavarde355                      8         8         3        10         1        10         2
Vardas356             Pavarde356                      6         1         9         2         9         2         4
Vardas357             Pavarde357                      7         4         2         6         1         2         7
Vardas358             Pavarde358                      4         9         7        10         2        10         3
Vardas359             Pavarde359                      3         2         2         6        10         2         4
Vardas360             Pavarde360                      8         6         7         5         3         3         3
Vardas361             Pavarde361                     10         6        10         9         2         4         5
Vardas362             Pavarde362                      9         9        10        10         8         3         1
Vardas363             Pavarde363                      2         1         8         2         1        10         9
Vardas364             Pavarde364                      1         7         5         4         6         2         9
Vardas365             Pavarde365                      2         7         6         9         1         2        10
Vardas366             Pavarde366                      1         2         7         7         2         9         4
Vardas367             Pavarde367                      9         4         1         2         3         8         7
Vardas368             Pavarde368                      5         9         5         8         4         7         3
Vardas369             Pavarde369                      5         7         9         1         7         3         4
Vardas370             Pavarde370                      4        10         1         7         6         3         4
Vardas371             Pavarde371                      9         7         9         1         3         8         9
Vardas372             Pavarde372                      9         9         1         8         6         9         9
Vardas373             Pavarde373                      4         8         5        10         8         2         7
Vardas374             Pavarde374                      3         7         7         5         3         7         9
Vardas375             Pavarde375                      2         5         3        10        10         2        10
Vardas376             Pavarde376                      9         9         3         4         3        10         1
Vardas377             Pavarde377                     10         2         2         9         6         2         9
Vardas378             Pavarde378                      7         3         2         2         8         9        10
Vardas379             Pavarde379                      4         4        10         6         1         6         3
Vardas380             Pavarde380                      1         6         7         1         1         7         8
Vardas381             Pavarde381                      3        10         4        10         2         8         3
Vardas382             Pavarde382                      1         7         8         9         2         8         1
Vardas383             Pavarde383                      7         5         6         2         4         7         7
Vardas384             Pavarde384                      8         2         6         6        10         5         2
Vardas385             Pavarde385                      9         3         6         1         8         2         6
Vardas386             Pavarde386                      9         4         7         3         5         3         1
Vardas387             Pavarde387                      8         4         5         1         8         8         6
