Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6      Egz.
Vardas90               Pavarde90                      6         4         1         5         8         1         2
Vardas91               Pavarde91                      9         1         6         5         3         5         3
Vardas92               Pavarde92                      5         3         1         7         7         2         5
Vardas93               Pavarde93                      6         2         5         1         8        10         6
Vardas94               Pavarde94                      9         7        10         1         9         6         1
Vardas95               Pavarde95                      2         3         1         1         3         4         4
Vardas96               Pavarde96                      7         5         3         5        10         3         8
Vardas97               Pavarde97                      9         8         8         1         7         4         2
Vardas98               Pavarde98                      4         3         2         2         9         2         9
Vardas99               Pavarde99                      5         5         9         3         3         6        10
Vardas100             Pavarde100                     10         7         8         1         2         2        10
